Altium Designer Pick and Place Locations
C:\Users\nicol\Documents\MarioKar\Hardware\Kar_PCB\Project Outputs for Free Documents\Pick Place\Pick Place for Kar_PCB.csv

========================================================================================================================
File Design Information:

Date:       04/10/25
Time:       16:39
Revision:   71612f2c6fcd0b3b197ef8dd4a7d5b8d7ff080fc
Variant:    No variations
Units used: mil

"Designator","Footprint","Center-X(mil)","Center-Y(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)","Layer","Rotation","Comment"
"J2","61202021621","555.000","1725.000","555.000","1725.000","505.000","2175.000","TopLayer","270","6120XX21621_61202021621"
"MT1","XDCR_ICM-42670-P","3000.000","1399.390","3000.000","1399.390","2954.232","1428.917","TopLayer","0","ICM-42670-P"
"J1","691210910002","4895.000","3280.315","4895.000","3280.315","4945.000","3280.315","TopLayer","180","691210910002"
"D1","WL-SMCW_0603","5025.000","1935.315","5025.000","1935.315","5025.000","1903.819","TopLayer","90","WL-SMCW_0603"
"S2","SW_SLW-1678105-6A-N-D","4920.000","1510.315","4920.000","1510.315","4792.047","1687.480","TopLayer","270","SLW-1678105-6A-N-D"
"U1","TS3B","4850.000","910.315","5010.000","910.315","4684.000","810.315","BottomLayer","90","LM3940ISX-3.3/NOPB"
"AE1","MLPF-WB55-01E3_STM","3064.843","1543.425","3064.843","1543.425","3074.685","1520.315","TopLayer","180","MLPF-WB55-01E3"
"X1","CX2016DB32000D0WZRC1","3346.653","1607.756","3346.653","1607.756","3325.000","1635.315","TopLayer","270","CX2016DB32000D0WZRC1"
"S1","SW_TS02-66-70-BK-260-LCR-D","1125.000","1220.000","1125.000","1220.000","1252.953","1131.417","TopLayer","180","TS02-66-70-BK-260-LCR-D"
"B1","W3078","3220.118","1430.315","3220.118","1430.315","3275.236","1430.315","TopLayer","180","W3078"
"U2","VQFN20_RHL_TEX","4905.000","2950.315","4905.000","2950.315","4934.528","2863.815","TopLayer","180","DRV8242SQRHLRQ1"
"J3","CONN03_22289033_MOL","1100.000","590.000","1200.000","590.000","1200.000","590.000","TopLayer","0","22289033"
"C15","CAPC2012X145N","2670.000","1725.315","2670.000","1725.315","2670.000","1685.945","TopLayer","90","KAM21BR71H103KT"
"C25","CAPC2012X145N","3089.370","1220.315","3089.370","1220.315","3128.740","1220.315","TopLayer","180","KAM21BR71H104JM"
"C24","CAPC2012X145N","2940.000","1300.315","2940.000","1300.315","2900.630","1300.315","TopLayer","0","KAM21BR71H104JM"
"C22","CAPC2012X145N","3080.000","2100.000","3080.000","2100.000","3080.000","2139.370","TopLayer","270","KAM21BR71H104JM"
"C19","CAPC2012X145N","3135.000","1575.315","3135.000","1575.315","3135.000","1535.945","TopLayer","90","KAM21BR71H104JM"
