Altium Designer Pick and Place Locations
C:\Users\nicol\Documents\MarioKar\Hardware\Kar_PCB\Project Outputs for Free Documents\Pick Place\Pick Place for Kar_PCB.txt

========================================================================================================================
File Design Information:

Date:       04/10/25
Time:       15:31
Revision:   71612f2c6fcd0b3b197ef8dd4a7d5b8d7ff080fc
Variant:    No variations
Units used: mil

Designator Comment                 Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                 
U2         DRV8242SQRHLRQ1         TopLayer    VQFN20_RHL_TEX             4905.000      2950.315      180      "Automotive, 40-V 6-A H-bridge driver with integrated current sensing and feedback 20-VQFN -40 to 125"                                                                      
U5         MMC5983MA               TopLayer    MMC5983MA_MEM              205.000       1745.000      0        "No Description Available"                                                                                                                                                  
R17        RC0805JR-07100RL        TopLayer    RC0805N_YAG                180.000       1565.000      90       "RES 0805 100 5% 1/8W"                                                                                                                                                      
C28        C2012X5R1H106K125AC     TopLayer    CAPC2012X145N              325.005       1694.332      90       "Multilayer Ceramic Chip Capacitors, Capacitance=10?F, LxWxT:2x1.25x1.25mm"                                                                                                 
C27        KGM21AR51H105KU         TopLayer    CAPC2012X145N              290.000       1870.000      180      "Multilayer Ceramic Chip Capacitors, Capacitance=1u"                                                                                                                        
J3         22289033                TopLayer    CONN03_22289033_MOL        1100.000      590.000       0        "KK 254 Breakaway Header, Right-Angle Surface Mount Compatible, 3 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 8.23mm, with Kinked PC Tails"            
J2         6120XX21621_61202021621 TopLayer    61202021621                555.000       1725.000      270      ""                                                                                                                                                                          
R16        RC0805JR-07100RL        TopLayer    RC0805N_YAG                4835.000      1985.315      315      "RES 0805 100 5% 1/8W"                                                                                                                                                      
R15        RC0805JR-07100RL        TopLayer    RC0805N_YAG                4891.312      2044.003      315      "RES 0805 100 5% 1/8W"                                                                                                                                                      
D1         WL-SMCW_0603            TopLayer    WL-SMCW_0603               5025.000      1935.315      90       "0603, Green Typ.(@20mA): 520nm, 430mcd, 3.2V, 140° InGaN"                                                                                                                 
S2         SLW-1678105-6A-N-D      TopLayer    SW_SLW-1678105-6A-N-D      4920.000      1510.315      270      "16 x 7.8 x 10.5 mm, 6 mm Raised Slide Actuator, Through Hole, Slide Switch"                                                                                                
R14        RC0805FR-0710KL         BottomLayer RC0805N_YAG                4655.000      1650.315      270      "RES 0805 10k 1% 1/8W"                                                                                                                                                      
R13        RC0805FR-0710KL         BottomLayer RC0805N_YAG                4655.000      1793.815      270      "RES 0805 10k 1% 1/8W"                                                                                                                                                      
BT2        1048P                   BottomLayer BAT_1048P                  3806.181      1733.740      90       "SMT Polarized Holder for Dual 18650 Batteries"                                                                                                                             
BT1        1048P                   BottomLayer BAT_1048P                  2190.000      1735.315      90       "SMT Polarized Holder for Dual 18650 Batteries"                                                                                                                             
X1         CX2016DB32000D0WZRC1    TopLayer    CX2016DB32000D0WZRC1       3346.653      1607.756      270      "32 MHz +/-25ppm Crystal 8pF 60 Ohms 4-SMD, No Lead"                                                                                                                        
U4         STM32WB55RGV6TR         TopLayer    VFQFN68-8x8mm              3000.000      1845.315      0        "Ultra-low-power dual core Arm Cortex-M4 MCU 64 MHz, Cortex-M0+ 32 MHz with 1 Mbyte of Flash memory, Bluetooth LE 5.4, 802.15.4, Zigbee, Thread, Matter, USB, LCD, AES-256" 
U3         SN74LV1T34DBVR          TopLayer    SOT95P280X145-5N           4835.000      2575.315      270      "Single Power Supply BUFFER Logic Level Shifter (no enable)"                                                                                                                
U1         LM3940ISX-3.3/NOPB      BottomLayer TS3B                       4850.000      910.315       90       "1-A, low-dropout voltage regulator for 5-V to 3.3-V conversion 3-DDPAK/TO-263 -40 to 125"                                                                                  
S1         TS02-66-70-BK-260-LCR-D TopLayer    SW_TS02-66-70-BK-260-LCR-D 1125.000      1220.000      180      "6 x 6 mm, 7 mm Actuator Height, 260 gf, Black, Long Crimped, Through Hole, SPST, Tactile Switch"                                                                           
R12        RC0805JR-07100RL        TopLayer    RC0805N_YAG                2865.000      1430.315      0        "RES 0805 100 5% 1/8W"                                                                                                                                                      
R11        RC0805JR-07100RL        TopLayer    RC0805N_YAG                2900.000      1575.315      270      "RES 0805 100 5% 1/8W"                                                                                                                                                      
R10        RC0805JR-07100RL        TopLayer    RC0805N_YAG                2825.000      1575.315      270      "RES 0805 100 5% 1/8W"                                                                                                                                                      
R9         RC0805JR-074K7L         TopLayer    RC0805N_YAG                2705.000      1555.315      0        "RES 0805 4.7k 5% 1/8W"                                                                                                                                                     
R8         RC0805JR-074K7L         TopLayer    RC0805N_YAG                2705.000      1625.315      0        "RES 0805 4.7k 5% 1/8W"                                                                                                                                                     
R7         RC0805JR-07100RL        TopLayer    RC0805N_YAG                4835.000      2735.000      90       "RES 0805 100 5% 1/8W"                                                                                                                                                      
R6         RC0805FR-0722KL         BottomLayer RC0805N_YAG                5158.500      290.315       0        "RES 0805 22k 1% 1/8W"                                                                                                                                                      
